Designator,Mid X,Mid Y,Rotation,Layer
C1,79.247349,-51.15,0.0,top
C2,90.397349,-51.15,0.0,top
C3,101.397349,-51.15,0.0,top
C4,112.397349,-51.15,0.0,top
J1,80.46,-41.5,90.0,top
J2,91.45,-41.5,90.0,top
J3,102.46,-41.5,90.0,top
J4,113.5,-41.5,90.0,top
J5,108.32,-76.2,0.0,top
J6,81.7,-77.325,0.0,top
R1,81.05,-67.1362,0.0,top
R2,92.05,-67.1362,0.0,top
R3,103.05,-66.15,0.0,top
R4,114.05,-66.15,0.0,top
U1,87.29,-61.0,0.0,top
